Vencimento;15/08/2050;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2017;5,63%;5,75%;3.192,10;3.138,30;3.137,29
03/01/2017;5,62%;5,74%;3.197,66;3.143,74;3.142,73
04/01/2017;5,66%;5,78%;3.180,53;3.127,10;3.126,09
05/01/2017;5,70%;5,82%;3.163,57;3.110,63;3.109,62
06/01/2017;5,69%;5,81%;3.169,69;3.116,61;3.114,98
09/01/2017;5,73%;5,85%;3.152,85;3.100,25;3.099,24
10/01/2017;5,72%;5,84%;3.158,31;3.105,59;3.104,58
11/01/2017;5,75%;5,87%;3.145,72;3.093,37;3.092,37
12/01/2017;5,60%;5,72%;3.214,24;3.160,04;3.159,04
13/01/2017;5,55%;5,67%;3.239,18;3.184,32;3.182,44
16/01/2017;5,53%;5,65%;3.249,75;3.194,63;3.193,36
17/01/2017;5,45%;5,57%;3.288,64;3.232,48;3.231,21
18/01/2017;5,51%;5,63%;3.261,65;3.206,26;3.204,98
19/01/2017;5,53%;5,65%;3.253,59;3.198,45;3.197,18
20/01/2017;5,51%;5,63%;3.264,80;3.209,39;3.207,17
23/01/2017;5,55%;5,67%;3.247,37;3.192,46;3.191,26
24/01/2017;5,54%;5,66%;3.254,43;3.199,38;3.196,98
26/01/2017;5,53%;5,65%;3.260,30;3.205,11;3.203,91
27/01/2017;5,55%;5,67%;3.253,23;3.198,28;3.196,07
30/01/2017;5,56%;5,68%;3.249,80;3.194,97;3.193,77
31/01/2017;5,55%;5,67%;3.255,65;3.200,69;3.199,48
01/02/2017;5,51%;5,63%;3.275,53;3.220,05;3.218,84
02/02/2017;5,46%;5,58%;3.300,32;3.244,19;3.242,97
03/02/2017;5,41%;5,53%;3.326,45;3.269,63;3.267,39
06/02/2017;5,40%;5,52%;3.332,48;3.275,52;3.274,30
07/02/2017;5,42%;5,54%;3.324,09;3.267,39;3.266,18
08/02/2017;5,33%;5,45%;3.365,93;3.308,06;3.306,96
09/02/2017;5,30%;5,42%;3.381,76;3.323,48;3.322,38
10/02/2017;5,21%;5,33%;3.428,51;3.368,96;3.367,03
13/02/2017;5,22%;5,34%;3.424,59;3.365,18;3.364,08
14/02/2017;5,22%;5,34%;3.337,93;3.278,52;3.365,18
15/02/2017;5,23%;5,35%;3.334,15;3.274,87;3.273,64
16/02/2017;5,25%;5,37%;3.325,38;3.266,37;3.265,15
17/02/2017;5,29%;5,41%;3.307,86;3.249,38;3.247,07
20/02/2017;5,26%;5,38%;3.323,98;3.265,08;3.263,85
21/02/2017;5,24%;5,36%;3.335,19;3.276,00;3.274,78
22/02/2017;5,18%;5,30%;3.366,66;3.306,62;3.305,39
23/02/2017;5,12%;5,24%;3.398,24;3.337,34;3.336,14
24/02/2017;5,13%;5,25%;3.396,43;3.335,64;3.332,34
01/03/2017;5,14%;5,26%;3.392,51;3.331,85;3.330,65
02/03/2017;5,11%;5,23%;3.409,15;3.348,05;3.346,85
03/03/2017;5,14%;5,26%;3.395,98;3.335,29;3.333,04
06/03/2017;5,12%;5,24%;3.407,48;3.346,49;3.345,29
07/03/2017;5,14%;5,26%;3.398,40;3.337,70;3.336,49
08/03/2017;5,16%;5,28%;3.389,37;3.328,95;3.327,74
09/03/2017;5,20%;5,32%;3.370,25;3.310,38;3.309,18
10/03/2017;5,15%;5,27%;3.394,51;3.333,97;3.332,12
13/03/2017;5,10%;5,22%;3.421,33;3.360,07;3.358,99
