Data;Fechamento;Abertura;Mínimo;Máximo
Jan-1995; 3885 ; 4357.5 ; 3102 ; 4399.1 
Fev-1995; 3270.8 ; 3886.4 ; 2758.1 ; 4068.8 
Mar-1995; 2978.9 ; 3267.2 ; 2110 ; 3494.9 
Abr-1995; 3813.7 ; 2983.1 ; 2867.1 ; 3929.4 
Mai-1995; 3720.5 ; 3813.7 ; 3684.6 ; 4185.3 
Jun-1995; 3603.3 ; 3720.5 ; 3515.4 ; 4071.7 
Jul-1995; 3877.4 ; 3611 ; 3574.3 ; 4082.2 
Ago-1995; 4310.5 ; 3879.1 ; 3817.3 ; 4554.8 
Set-1995; 4670.1 ; 4312.8 ; 4312.8 ; 4888.2 
Out-1995; 4128.3 ; 4667.7 ; 3922.5 ; 4688.4 
Nov-1995; 4378.5 ; 4128.3 ; 3713.7 ; 4390.6 
Dez-1995; 4299 ; 4378.5 ; 3957.5 ; 4397.3 
Jan-1996; 5151.5 ; 4299 ; 4298.9 ; 5171.5 
Fev-1996; 4957.7 ; 5153.2 ; 4939.6 ; 5410.9 
Mar-1996; 4954.9 ; 4960.6 ; 4595.6 ; 5224.4 
Abr-1996; 5164.1 ; 4954.9 ; 4831.2 ; 5175.1 
Mai-1996; 5727.9 ; 5164.1 ; 5097.3 ; 5764.2 
Jun-1996; 6043.8 ; 5725.7 ; 5397.7 ; 6303.4 
Jul-1996; 6123.2 ; 6046 ; 5879.4 ; 6713.2 
Ago-1996; 6259.4 ; 6158.2 ; 6015.9 ; 6400.7 
Set-1996; 6446.8 ; 6256.8 ; 6132.3 ; 6631.4 
Out-1996; 6533.1 ; 6446.8 ; 6316.9 ; 6851.5 
Nov-1996; 6666 ; 6532.7 ; 6478.9 ; 6757.7 
Dez-1996; 7039.9 ; 6676.9 ; 6599 ; 7052.5 
Jan-1997; 7964.6 ; 7040 ; 6952.5 ; 7991.8 
Fev-1997; 8828.7 ; 7965.5 ; 7963.2 ; 9181.1 
Mar-1997; 9044 ; 8828 ; 8707 ; 9567 
Abr-1997; 9982 ; 9032 ; 8982 ; 10000 
Mai-1997; 11344 ; 9982 ; 9982 ; 11457 
Jun-1997; 12567 ; 11341 ; 10987 ; 13222 
Jul-1997; 12872 ; 12567 ; 10764 ; 14005 
Ago-1997; 10609 ; 12845 ; 10518 ; 12845 
Set-1997; 11797 ; 10609 ; 9920 ; 12019 
Out-1997; 8986 ; 11799 ; 8456 ; 13037 
Nov-1997; 9394 ; 8986 ; 7521 ; 10333 
Dez-1997; 10196 ; 9395 ; 8852 ; 10212 
Jan-1998; 9720 ; 10196 ; 8441 ; 10654 
Fev-1998; 10570 ; 9716 ; 9716 ; 10625 
Mar-1998; 11946 ; 10571 ; 10571 ; 12111 
Abr-1998; 11677 ; 11946 ; 11051 ; 12339 
Mai-1998; 9846 ; 11706 ; 8970 ; 11789 
Jun-1998; 9678 ; 9749 ; 9061 ; 10563 
Jul-1998; 10707 ; 9680 ; 9680 ; 11156 
Ago-1998; 6472 ; 10705 ; 6454 ; 10705 
Set-1998; 6593 ; 6472 ; 4575 ; 7452 
Out-1998; 7047 ; 6593 ; 5878 ; 7629 
Nov-1998; 8631 ; 7047 ; 7047 ; 9128 
Dez-1998; 6784 ; 8631 ; 6377 ; 8737 
Jan-1999; 8171 ; 6786 ; 4797 ; 8540 
Fev-1999; 8910 ; 8187 ; 8160 ; 9267 
Mar-1999; 10696 ; 8912 ; 8912 ; 11108 
Abr-1999; 11350 ; 10696 ; 10676 ; 11826 
Mai-1999; 11089 ; 11350 ; 10562 ; 12589 
Jun-1999; 11626 ; 11089 ; 10741 ; 12117 
Jul-1999; 10441 ; 11633 ; 10345 ; 11996 
Ago-1999; 10564 ; 10441 ; 9579 ; 10725 
Set-1999; 11106 ; 10576 ; 10583 ; 11735 
Out-1999; 11700 ; 11104 ; 10796 ; 11826 
Nov-1999; 13778 ; 11701 ; 11684 ; 14053 
Dez-1999; 17091 ; 13783 ; 13557 ; 17104 
Jan-2000; 16388 ; 17098 ; 15349 ; 18099 
Fev-2000; 17660 ; 16389 ; 16389 ; 18885 
Mar-2000; 17820 ; 17668 ; 16922 ; 19046 
Abr-2000; 15537 ; 17825 ; 14029 ; 17825 
Mai-2000; 14956 ; 15596 ; 13555 ; 15944 
Jun-2000; 16727 ; 14967 ; 14967 ; 17371 
Jul-2000; 16454 ; 16746 ; 16415 ; 17794 
Ago-2000; 17346 ; 16474 ; 16072 ; 17925 
Set-2000; 15928 ; 17359 ; 15656 ; 17714 
Out-2000; 14867 ; 15949 ; 13570 ; 16403 
Nov-2000; 13287 ; 14857 ; 13287 ; 15191 
Dez-2000; 15259 ; 13303 ; 13247 ; 15414 
Jan-2001; 17672 ; 15242 ; 15173 ; 18023 
Fev-2001; 15891 ; 17670 ; 15558 ; 17673 
Mar-2001; 14438 ; 15890 ; 13761 ; 16813 
Abr-2001; 14917 ; 14441 ; 13325 ; 15267 
Mai-2001; 14649 ; 14877 ; 14056 ; 15304 
Jun-2001; 14559 ; 14654 ; 14164 ; 15644 
Jul-2001; 13754 ; 14579 ; 13360 ; 14771 
Ago-2001; 12840 ; 13757 ; 12680 ; 14142 
Set-2001; 10635 ; 12848 ; 9532 ; 12947 
Out-2001; 11364 ; 10633 ; 9985 ; 11924 
Nov-2001; 12931 ; 11362 ; 11188 ; 13786 
Dez-2001; 13577 ; 12913 ; 12809 ; 13960 
Jan-2002; 12721 ; 13585 ; 12300 ; 14412 
Fev-2002; 14033 ; 12722 ; 12414 ; 14247 
Mar-2002; 13254 ; 14047 ; 13189 ; 14492 
Abr-2002; 13085 ; 13253 ; 13031 ; 13872 
Mai-2002; 12861 ; 13088 ; 11943 ; 13090 
Jun-2002; 11139 ; 12858 ; 10246 ; 12913 
Jul-2002; 9762 ; 11137 ; 9155 ; 11173 
Ago-2002; 10382 ; 9781 ; 9016 ; 10604 
Set-2002; 8622 ; 10382 ; 8352 ; 10477 
Out-2002; 10167 ; 8642 ; 8224 ; 10241 
Nov-2002; 10508 ; 10172 ; 9569 ; 10518 
Dez-2002; 11268 ; 10516 ; 10307 ; 11648 
Jan-2003; 10941 ; 11290 ; 10456 ; 12349 
Fev-2003; 10280 ; 10943 ; 9968 ; 11067 
Mar-2003; 11273 ; 10262 ; 10104 ; 11420 
Abr-2003; 12556 ; 11282 ; 11282 ; 12819 
Mai-2003; 13421 ; 12564 ; 12541 ; 13564 
Jun-2003; 12972 ; 13441 ; 12894 ; 14072 
Jul-2003; 13571 ; 12967 ; 12893 ; 13946 
Ago-2003; 15174 ; 13578 ; 12756 ; 15252 
Set-2003; 16010 ; 15174 ; 15074 ; 17104 
Out-2003; 17982 ; 16009 ; 16009 ; 18659 
Nov-2003; 20183 ; 17982 ; 17982 ; 20187 
Dez-2003; 22236 ; 20183 ; 20183 ; 22310 
Jan-2004; 21851 ; 22232 ; 21649 ; 24518 
Fev-2004; 21755 ; 21841 ; 20091 ; 23374 
Mar-2004; 22142 ; 21760 ; 20755 ; 23372 
Abr-2004; 19607 ; 22142 ; 19508 ; 23260 
Mai-2004; 19544 ; 19621 ; 17601 ; 20342 
Jun-2004; 21148 ; 19544 ; 19176 ; 21183 
Jul-2004; 22336 ; 21152 ; 20821 ; 22676 
Ago-2004; 22803 ; 22341 ; 21177 ; 23380 
Set-2004; 23245 ; 22802 ; 21738 ; 23484 
Out-2004; 23052 ; 23245 ; 22389 ; 24362 
Nov-2004; 25128 ; 23049 ; 22940 ; 25160 
Dez-2004; 26196 ; 25129 ; 24451 ; 26269 
Jan-2005; 24350 ; 26193 ; 23533 ; 26492 
Fev-2005; 28139 ; 24355 ; 24073 ; 28778 
Mar-2005; 26610 ; 28135 ; 25760 ; 29584 
Abr-2005; 24843 ; 26612 ; 24154 ; 27178 
Mai-2005; 25207 ; 24847 ; 23679 ; 25808 
Jun-2005; 25051 ; 25209 ; 24224 ; 26755 
Jul-2005; 26042 ; 25051 ; 24192 ; 26305 
Ago-2005; 28044 ; 26042 ; 25733 ; 28071 
Set-2005; 31583 ; 28043 ; 27798 ; 31583 
Out-2005; 30193 ; 31581 ; 28161 ; 32051 
Nov-2005; 31916 ; 30193 ; 29948 ; 32350 
Dez-2005; 33455 ; 31920 ; 31920 ; 33837 
Jan-2006; 38382 ; 33461 ; 32860 ; 38803 
Fev-2006; 38610 ; 38382 ; 35891 ; 38978 
Mar-2006; 37951 ; 38610 ; 36084 ; 39394 
Abr-2006; 40363 ; 37951 ; 37816 ; 40424 
Mai-2006; 36530 ; 40364 ; 34911 ; 42061 
Jun-2006; 36630 ; 36531 ; 32057 ; 38437 
Jul-2006; 37077 ; 36628 ; 34590 ; 37600 
Ago-2006; 36232 ; 37077 ; 35122 ; 38172 
Set-2006; 36449 ; 36232 ; 34127 ; 37739 
Out-2006; 39262 ; 36450 ; 36437 ; 39843 
Nov-2006; 41931 ; 39278 ; 39278 ; 42308 
Dez-2006; 44473 ; 41929 ; 41192 ; 44674 
Jan-2007; 44641 ; 44476 ; 41266 ; 45387 
Fev-2007; 43892 ; 44642 ; 42570 ; 46752 
Mar-2007; 45804 ; 43886 ; 41117 ; 45949 
Abr-2007; 48956 ; 45804 ; 45225 ; 49856 
Mai-2007; 52268 ; 48954 ; 48952 ; 52877 
Jun-2007; 54392 ; 52270 ; 50884 ; 55003 
Jul-2007; 54182 ; 54396 ; 52627 ; 58292 
Ago-2007; 54637 ; 54170 ; 44937 ; 55615 
Set-2007; 60465 ; 54641 ; 52320 ; 61054 
Out-2007; 65317 ; 60465 ; 59472 ; 65948 
Nov-2007; 63006 ; 65316 ; 58095 ; 65316 
Dez-2007; 63886 ; 63018 ; 59414 ; 66528 
Jan-2008; 59490 ; 63884 ; 53010 ; 63906 
Fev-2008; 63489 ; 59490 ; 58029 ; 66005 
Mar-2008; 60968 ; 63496 ; 57824 ; 65044 
Abr-2008; 67868 ; 60965 ; 60965 ; 68037 
Mai-2008; 72592 ; 67868 ; 67865 ; 73920 
Jun-2008; 65017 ; 72592 ; 63688 ; 72592 
Jul-2008; 59505 ; 65017 ; 56417 ; 65017 
Ago-2008; 55680 ; 59505 ; 52344 ; 59505 
Set-2008; 49541 ; 55665 ; 43766 ; 55665 
Out-2008; 37256 ; 49537 ; 29435 ; 49833 
Nov-2008; 36595 ; 37260 ; 31080 ; 41002 
Dez-2008; 37550 ; 36595 ; 33798 ; 40497 
Jan-2009; 39300 ; 37550 ; 36743 ; 42525 
Fev-2009; 38183 ; 39296 ; 37324 ; 43441 
Mar-2009; 40925 ; 38179 ; 35721 ; 42679 
Abr-2009; 47289 ; 40917 ; 40256 ; 48125 
Mai-2009; 53197 ; 47289 ; 47289 ; 53805 
Jun-2009; 51465 ; 53202 ; 49130 ; 54955 
Jul-2009; 54765 ; 51464 ; 48261 ; 55083 
Ago-2009; 56488 ; 54765 ; 54765 ; 58633 
Set-2009; 61517 ; 56489 ; 55338 ; 62017 
Out-2009; 61545 ; 61518 ; 59677 ; 67529 
Nov-2009; 67044 ; 61539 ; 60723 ; 68059 
Dez-2009; 68588 ; 67050 ; 65925 ; 69785 
Jan-2010; 65401 ; 68587 ; 64541 ; 71068 
Fev-2010; 66503 ; 65402 ; 61341 ; 68119 
Mar-2010; 70371 ; 66510 ; 66510 ; 70486 
Abr-2010; 67529 ; 70374 ; 65914 ; 71989 
Mai-2010; 63046 ; 67533 ; 57633 ; 67968 
Jun-2010; 60935 ; 63033 ; 60935 ; 65830 
Jul-2010; 67515 ; 60934 ; 60055 ; 67608 
Ago-2010; 65145 ; 67523 ; 63803 ; 68753 
